depart,intellig,laboratori,file,home,cs,comput,scienc,pp,cours,group,network,solut,research,program,rice,homework,assign,columbia,pittsburgh,parallel,georgia,urc,robot,server,project,inform,austin,page,classification
0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,course
1,0,0,0,0,3,3,2,0,16,0,0,7,0,5,0,15,0,0,0,0,0,0,0,0,0,3,0,4,course
0,0,0,0,0,3,1,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,course
0,0,0,0,0,0,4,0,1,1,0,0,5,0,1,0,9,0,0,0,0,0,0,0,0,1,2,0,0,course
0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,course
0,0,0,0,0,0,1,0,0,5,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,4,2,0,4,course
0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,course
0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,course
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,5,8,0,0,0,0,0,0,0,6,1,0,0,course
1,0,0,0,0,1,1,1,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,1,0,0,course
1,0,0,0,0,3,1,8,0,8,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,course
1,3,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,7,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,course
1,1,0,0,0,2,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
1,0,0,0,0,2,3,4,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,course
1,0,1,0,0,2,4,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,course
0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,8,0,4,course
0,0,0,0,2,0,5,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,course
0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,26,1,0,0,1,1,0,3,0,2,0,4,0,0,0,1,0,0,0,1,6,1,0,4,course
0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,course
2,0,0,0,3,7,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,course
0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,3,0,3,12,0,0,6,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,3,2,5,2,0,0,8,2,1,0,0,5,0,3,1,0,0,0,0,0,0,0,0,1,0,3,course
0,0,0,0,0,2,0,0,0,1,0,0,9,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,0,0,0,2,1,0,7,0,8,0,0,3,0,2,2,0,0,0,0,0,0,0,4,1,0,0,course
0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,course
0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,0,9,13,0,0,0,0,0,4,0,6,0,0,0,course
0,0,0,1,0,0,4,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,course
0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,course
