depart,intellig,laboratori,file,home,cs,comput,scienc,pp,cours,group,network,solut,research,program,rice,homework,assign,columbia,pittsburgh,parallel,georgia,urc,robot,server,project,inform,austin,page,classification
0,0,0,0,0,2,1,0,0,7,2,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,course
0,0,0,0,0,3,9,0,0,10,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,2,0,2,course
0,1,0,1,0,0,4,2,0,5,3,1,0,0,10,0,0,8,0,0,0,0,0,0,0,3,1,0,1,course
0,0,0,0,0,0,3,0,0,8,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,course
0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,course
0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,course
0,0,0,0,1,5,0,0,0,2,0,0,6,0,0,0,7,14,0,0,0,0,0,0,0,2,2,0,1,course
0,0,0,0,1,4,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,course
1,3,0,0,1,0,1,1,0,2,1,0,0,0,5,0,4,8,0,0,0,0,0,0,0,0,2,0,1,course
0,0,0,0,0,0,6,5,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,1,2,0,0,4,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,course
1,0,0,2,1,3,3,1,0,6,0,0,6,0,2,0,2,2,0,0,0,0,0,0,0,2,1,0,1,course
0,0,0,1,0,0,2,1,1,3,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,4,1,0,1,course
2,0,0,1,1,2,5,3,0,20,1,0,10,0,19,0,1,4,0,0,0,0,0,0,0,14,4,0,1,course
3,0,0,7,2,0,17,8,0,21,0,3,5,0,68,0,0,30,0,0,0,0,0,0,0,1,5,0,2,course
2,0,0,2,1,2,2,2,0,15,1,0,10,0,16,0,1,3,0,0,0,0,0,0,0,21,5,0,1,course
0,0,0,0,2,0,2,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,course
0,0,0,0,2,2,1,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,5,0,0,4,course
1,0,0,0,0,4,11,3,1,7,0,0,10,0,3,0,15,5,0,0,0,0,0,0,1,0,2,0,1,course
0,0,0,0,0,2,3,4,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,1,3,5,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,4,5,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,1,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,0,1,4,0,0,0,1,1,0,7,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,1,1,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,course
1,0,0,2,3,10,2,2,0,9,6,0,2,1,0,0,27,0,0,0,0,0,0,0,0,0,9,0,8,course
0,0,0,1,0,0,8,0,0,4,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,6,1,0,0,course
0,0,0,0,1,0,3,0,0,5,0,0,1,0,25,0,2,59,0,0,0,0,0,0,0,85,0,0,1,course
0,0,0,0,2,3,6,3,0,1,1,0,0,0,16,0,0,3,0,0,0,0,0,0,0,3,7,0,5,course
0,0,0,1,0,1,0,0,0,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,2,0,7,course
0,0,0,0,0,5,5,5,0,0,0,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,19,1,0,0,course
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,0,0,3,2,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,course
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,course
0,0,0,5,1,0,2,0,0,1,0,0,0,0,6,0,9,0,0,0,0,0,0,0,1,0,0,0,3,course
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,course
0,3,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,1,course
0,0,0,2,0,0,3,0,0,3,0,0,2,0,14,0,11,17,0,0,0,0,0,0,0,0,1,0,1,course
0,0,0,5,1,0,2,2,0,2,0,0,1,0,5,0,13,0,0,0,0,0,0,0,1,0,0,0,2,course
0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,course
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,1,0,0,course
